id,country,country_slug,institutions_resources,safety_frameworks,safety_outcomes,ul_safety_index,transport_injuries,transport_injuries_rating,falls,falls_rating,drowning,drowning_rating,fires_heat_hot_substances,fires_heat_hot_substances_rating,poisonings,poisonings_rating,exposure_to_mechanical_forces,exposure_to_mechanical_forces_rating,foreign_body,foreign_body_rating,unintentional_injuries,other_unintentional_injuries,other_unintentional_injuries_rating,exposure_to_forces_of_nature_disaster,exposure_to_forces_of_nature_disaster_rating,gdp_per_capita,gdp_per_capita_rating,network_readiness_rating,government_effectiveness_rating,education_rating,consumer_protection_survey_rating,ul_labor_rights_index_rating,un_region,un_sub_region,un_development_status,who_region,population,population_decile,population_under_15,youth_population_group,population_over_65,older_population_group,gdp,gdp_decile,iso_abbreviation,iso_membership,iec_membership,government_effectiveness,education,network_readiness,ul_standards_index,ul_standards_index_rating,consumer_protection_survey,ul_labor_rights_index
129,Peru,Peru,48.722765,43.3428571,82.0374792,55.74688304,832.8887159,82.43511003,183.4516019,91.75272602,141.2787348,87.98980641,47.92521844,94.23459987,28.08172666,93.1554348,201.9342716,74.55712518,455.5866049,71.97087398,2251.057292,73.76532455,93.61321135,286.1450935,48.62842538,6620.629668,54.08803836,29.61956522,47.26027397,63.92318244,21.42857138,48.6,Americas,South America,Developing,Americas,31151643,3,0.29,25-29%,0.06,5-9%,2.02596E+11,3,PER,Member body,Affiliate Country,-0.14,0.664,3.39,9,60,0.5,48.6
130,Philippines,Philippines,46.7980091,84.9288889,87.0029529,70.18951976,586.8683339,89.96042477,119.2460092,95.81233977,347.8418485,67.8784387,29.43587356,97.93825044,9.664220553,97.95119184,75.54520177,94.88260905,90.3040901,94.9098349,1615.866601,84.54646887,92.60002029,272.4145544,51.09346648,2788.377358,39.99108171,38.85869565,51.82648402,56.51577503,100,68.12,Asia,South-Eastern Asia,Developing,Western Pacific,102965300,1,0.34,30-34%,0.04,1-4%,2.84777E+11,2,PHL,Member body,Full Member,0.06,0.61,3.73,13,86.66666667,1,68.12
131,Poland,Poland,67.5324016,78.635,84.4410503,76.54095983,720.5199952,85.87226423,1134.047479,31.64811631,128.8517106,89.19972452,56.28704153,92.55962052,34.70013187,91.43206014,147.1589325,83.36591911,81.05498377,95.490659,2410.561576,107.9374354,90.40178257,0.003866178,99.99930591,13829.16214,66.09601375,51.35869565,66.66666667,86.00823045,,57.27,Europe,Eastern Europe,Developed,European,38478001,2,0.15,15-19%,0.15,15-19%,5.44967E+11,2,POL,Member body,Full Member,0.71,0.825,4.19,15,100,,57.27
132,Portugal,Portugal,72.2347192,98.1433333,91.0871799,86.4346776,619.5681454,88.96019718,517.1684336,70.65236107,33.87256386,98.44707034,41.9678467,95.42793708,14.18425245,96.77421518,74.49303591,95.05181498,55.20936499,97.1137086,1603.177648,246.6846135,77.36259158,0.029391697,99.99472331,21507.7112,73.29555822,64.40217391,78.53881279,72.70233196,100,94.43,Europe,Southern Europe,Developed,European,10349000,5,0.14,10-14%,0.19,15-19%,2.30117E+11,3,PRT,Member body,Full Member,1.23,0.728,4.67,15,100,1,94.43
133,Qatar,Qatar,78.9295086,51.0616667,89.7541691,71.25188179,1224.430049,70.45857482,218.7754384,89.51925809,95.18554346,92.47752497,63.8353539,91.0475977,14.26364638,96.7535417,189.7181374,76.52168461,25.56609502,98.97524258,1922.271386,90.41890116,92.04814048,0.078221694,99.98595687,96719.32873,97.80421784,76.08695652,74.88584475,66.94101509,,28.79,Asia,Western Asia,Developing,Eastern Mediterrainian,2394524,7,0.15,15-19%,0.01,1-4%,2.10109E+11,3,QAT,Member body,Full Member,1.07,0.686,5.1,11,73.33333333,,28.79
134,Republic of Korea,South Korea,82.4446654,93.81,91.8460138,89.22584495,626.2742211,88.75507055,441.932652,75.40939548,87.21881742,93.25318019,52.24790157,93.36871155,18.11283867,95.75124579,135.8405951,85.18609774,56.56528426,97.02855977,1446.356495,27.73339482,97.93920292,0.430790472,99.92266027,25997.88066,76.38650011,85.86956522,76.02739726,91.4951989,100,81.43,Asia,Eastern Asia,Developing,Western Pacific,50713867,2,0.14,10-14%,0.13,10-14%,1.41038E+12,1,KOR,Member body,Full Member,1.12,0.865,5.46,15,100,1,81.43
135,Republic of Moldova,Moldova,45.5091014,31.305,79.4320715,48.36924246,782.932844,83.96316903,388.1230852,78.81168565,342.3055858,68.4174595,158.4776109,72.08955181,167.5765361,56.83221,140.4000377,84.45286284,265.3194967,83.91924156,2395.571837,150.3743761,86.4136411,0.06226413,99.98882173,2243.979662,36.4501125,41.84782609,41.32420091,62.41426612,,22.61,Europe,Eastern Europe,Developed,European,4109000,7,0.16,15-19%,0.1,10-14%,7962423552,8,MDA,Correspondent member,Associate Member,-0.4,0.653,3.84,6,40,,22.61
136,Romania,Romania,56.6631582,83.595,83.4632193,73.39369234,553.0443585,90.99503848,1066.595864,35.9129707,165.466776,85.63481387,68.59068898,90.0950437,58.59187786,85.21085905,172.4553187,79.29783561,113.2044584,93.47174073,2304.100542,105.9293705,90.59049662,0.221829774,99.96017494,9489.693009,59.95706462,42.39130435,48.85844749,75.44581619,,67.19,Europe,Eastern Europe,Developed,European,19838662,3,0.16,15-19%,0.17,15-19%,1.99044E+11,3,ROU,Member body,Full Member,-0.07,0.748,3.86,15,100,,67.19
137,Russian Federation,Russian Federation,59.6637546,54.1742857,75.0881626,62.37708617,1079.566204,74.88969561,434.2089785,75.89775061,473.4855605,55.64553395,273.5391798,49.04125845,129.2424123,66.81407959,182.2249447,77.72671577,241.4152843,85.42037499,2922.078825,108.3891498,90.35933133,0.007111494,99.99872327,14487.27987,66.85392375,49.72826087,42.23744292,79.83539095,57.14285708,25.38,Europe,Eastern Europe,Developed,European,144302000,1,0.16,15-19%,0.13,10-14%,1.8606E+12,1,RUS,Member body,Full Member,-0.36,0.78,4.13,12,80,0.727272727,25.38
138,Rwanda,Rwanda,35.8320346,37.43,80.2806607,47.57375277,1494.772391,62.18929569,149.8654576,93.87632254,318.6243132,70.7231121,194.7170361,64.83033475,41.78105716,89.5882493,360.0947856,49.1222598,59.10441904,96.86910754,2674.450624,55.4523904,95.33422542,0.038774128,99.99303889,678.9981669,16.96273835,37.5,50.456621,38.40877915,,14.86,Africa,Eastern Africa,Least Developed,Africa,11331300,4,0.41,40-45%,0.03,1-4%,7890190337,8,RWA,Member body,Affiliate Country,0,0.478,3.68,9,60,,14.86
139,Saint Lucia,Saint Lucia,62.5800131,71.335,88.9041621,73.48862746,723.1812481,85.79086136,224.5942105,89.15134672,210.6541589,81.2352865,74.46011189,88.91932376,16.51882314,96.16631345,212.9291201,72.78896899,112.0270403,93.54568007,1654.189985,73.93373758,93.59738421,5.891534836,98.94229386,7327.084343,55.74086605,,72.60273973,59.39643347,,82.67,Americas,Caribbean,Developing,Americas,175000,9,0.22,20-24%,0.09,5-9%,1404430564,10,LCA,Member body,Affiliate Country,0.97,0.631,,9,60,,82.67
140,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,62.6480195,58.0016667,85.7986081,67.8072327,860.5319985,81.58955243,223.2189276,89.23830359,281.9536855,74.2934324,89.16488583,85.97377081,23.75428225,94.28226337,276.5436791,62.55868013,153.5019902,90.9411419,1985.57706,76.81904353,93.32622875,0.088567176,99.98409955,6575.498106,53.97652933,,71.00456621,62.96296296,,82.67,Americas,Caribbean,Developing,Americas,110000,10,0.25,25-29%,0.06,5-9%,729309384,10,VCT,Subscriber member,Affiliate Country,0.9,0.657,,5,33.33333333,,82.67
141,Sao Tome and Principe,Sao Tome and Principe,34.2310437,40.715,88.9894944,49.86981684,751.2837193,84.93125802,226.4579607,89.03350487,165.3892081,85.64236603,20.66221132,99.6957264,39.67201785,90.13742464,311.7992528,56.88899211,73.43323121,95.96928877,1609.326293,20.62869128,98.60688919,0,100,1703.445393,31.95727604,,33.56164384,37.17421125,,81.43,Africa,Middle Africa,Least Developed,Africa,195570,9,0.42,40-45%,0.04,1-4%,337413478,10,STP,Non Member,Non Member,-0.74,0.469,,0,0,,81.43
